P23025	P20585
P19793	P24522
P61244	P35637
Q93009	Q7L5N1
P29353	P30519
P04637	O43474
O15350	Q96J94
P04637	Q05682
P78356	P49759
P46531	Q92973
P40337	Q02363
P04637	P09496
Q13573	O60341
P04818	O75351
Q14191	P49005
P30291	P53350
P16949	Q9NRR5
P09651	P55072
P14859	P20226
Q9Y5B0	Q9H410
O00488	Q9ULU8
Q09472	Q9HCU9
Q9UKV8	O75569
P27695	P33991
P02686	Q99683
Q9NQC3	O15126
P61328	Q9UI36
Q9UKV8	Q2Q1W2
Q00987	O43293
P02545	P35637
P04637	Q96GM8
P49841	P62899
P29353	O95425
Q09472	P46379
Q01844	Q53HL2
P53350	Q99640
Q13573	Q9Y446
Q9UER7	Q9Y6K1
Q9UER7	Q13573
Q9UER7	Q7Z6G3
P04637	P53350
Q13573	Q86U42
P54725	Q9BTU6
P53350	Q53EZ4
P04637	Q9BQ67
Q01844	Q9NS73
P09651	P55345
Q49AN0	Q07065
P04637	P62750
P35637	O75147
P04150	Q09472
P49841	P62273
P35637	Q15154
Q8WZ42	Q9UHX1
Q49AN0	P61978
P35637	Q9P2J5
P04150	Q9H2G4
P09651	Q92665
P80723	P54253
P11387	O96028
P35637	Q9NX01
P14635	Q96DE5
O15350	Q8IZT6
Q09472	P06400
P24522	P42345
P14635	O00418
Q09161	Q8IXH7
Q13573	P61081
P24522	Q13561
Q9Y6Q9	Q02878
P04637	P02794
P04150	Q7L5N1
Q14061	Q5UIP0
Q13573	O94842
P46527	Q9UKX7
P17677	Q15276
P40337	P16949
P02545	Q9GZR1
P04637	P22736
P40337	Q15836
Q13573	Q969G3
P01100	P20823
P38936	P51668
P09651	P06730
Q13541	O60573
P60896	Q96PV6
P46531	P49768
P63027	Q86Y82
Q01844	Q9GZQ8
P53350	Q9UJP4
O00488	P38606
P38936	P56524
Q13573	Q9UKN8
P01100	Q96SB4
P04637	Q9Y675
Q09472	Q86YV9
P49841	Q6NUN9
P49841	P35637
Q49AN0	O43242
Q9NQC3	Q9BTV4
P04637	P78406
P35637	P10827
Q13573	P12956
P61244	Q9UJ14
P04150	O75376
P09651	Q9BZE1
Q09472	P35558
P29353	Q9UKI8
Q9UBB5	Q9UGL1
P04150	Q9Y2W1
Q01844	Q96RN5
Q13573	Q53EZ4
Q9UER7	P61956
Q13573	Q8IUH3
P15884	Q15672
P54725	Q14997
Q13573	P39023
P15884	Q13363
P51946	Q9Y2D8
P02545	Q8ND82
P01100	P46821
Q13573	Q9H0E9
Q13573	Q9Y262
Q9UER7	Q9HC62
Q09472	Q9H211
P48539	Q9NYB0
P25963	P56524
P35637	Q14151
Q09161	P62633
Q9Y5B0	P62805
P14635	Q14807
P49841	P07199
Q13541	O43633
P04637	P50991
P15884	Q13562
P35611	Q96ST3
Q9HAU5	P62081
P35637	Q9UG63
P19793	O60869
Q9Y6Q9	P49841
Q09472	Q07869
Q13573	O95926
P29353	Q13153
P24522	Q06330
P08047	P35222
P01100	Q6UN15
P02686	Q96SB4
P61244	O60664
P09651	Q8WWY3
P53350	Q71F23
P15884	P11388
P40337	O14543
P02545	P51003
P54725	Q8TBC4
P23025	Q96EB6
P04637	O43422
Q00987	P55072
Q09472	P40337
P37840	P10636
Q13573	Q9NPF5
P01100	Q8N2I9
P29353	Q8WV28
Q9NQC3	Q9BQ24
P04637	O00541
P04150	Q15596
P61244	P85037
P27695	Q5SYC1
P01100	Q8NCF5
P04637	Q9NVN8
Q09472	P10276
Q09472	Q02750
P46527	Q15418
Q00987	Q92831
Q13573	O43290
P04637	P33981
Q14191	Q06609
Q01844	Q9Y467
P09651	O95816
O14733	Q13387
P09651	Q9C0J8
P49918	P33993
Q93009	Q15011
Q13573	P46060
P04150	P39687
P49354	Q14151
Q9UKV8	Q8NF91
Q16143	Q9NVR5
P04150	Q15648
Q14061	Q6P3W7
Q00987	O43524
Q13573	Q6PGP7
P15884	Q9UBY9
Q00987	Q03468
P40337	Q9GZT9
Q9UBB5	Q9NP66
Q13573	P42285
P14859	Q9Y618
P40337	Q92831
P29353	Q96NL6
Q08209	P28702
P25054	Q68CZ1
P14859	P19793
P01100	O96017
P08047	P20929
P38936	P51693
P49918	P10244
P15884	Q13111
P15884	Q13526
P14635	P06400
Q09161	Q9H9Z2
P35637	Q00987
Q00987	Q99598
Q00987	P42574
P04637	P46379
Q00987	Q16626
P52298	Q96Q15
Q99801	P08047
P01100	O43318
P27695	O95340
Q9Y6Q9	P20226
Q00987	P38936
P30291	P62633
P25054	Q08379
O15169	Q12959
Q9H981	P46379
P53350	O43524
P46531	Q8IZL2
P02545	P35222
Q9H832	O95817
Q09472	O94761
P02545	Q96CX2
P04150	Q96GM5
Q9UGL1	O75362
P49841	Q9HBH7
P40337	Q9P258
P49841	Q7KZI7
P49841	Q8NE09
O75496	O14965
P15884	Q9UJX0
Q9UBB5	O60341
P02545	P49759
P51608	Q06330
Q9UBB5	O14519
P37840	Q8IUQ4
P35637	P62241
P19793	P09874
P09651	Q9H2U1
P04818	Q9NRR5
P61244	Q9BYE7
Q09472	O15265
P04637	P06400
P02545	Q9NW82
P49841	Q6UXH1
P09651	Q92522
P04637	P34925
Q9UBB5	Q96FF9
P08047	Q04864
P53350	Q12834
Q9UJY5	O43143
O14733	Q9Y4K3
Q01844	P48634
P01100	Q15418
P08047	P10589
P25963	P12931
Q93009	Q9H4L7
P15884	Q15560
Q93009	P60896
Q13573	Q13561
P09651	Q13620
P04637	O75486
P08047	Q6VMQ6
O15350	Q9UBK7
Q93009	P54253
P04637	P62861
Q01844	O15541
P09651	Q92973
P19793	P10827
Q13698	Q9H2K2
Q13569	P10276
Q9HAU5	P55884
Q93009	P33992
Q09161	Q92900
Q00987	Q02818
P38936	Q15029
P01100	Q01196
P29353	P01857
Q9UGL1	Q9UKL0
P49841	P10644
Q93009	P04264
P09651	Q96GG9
P04637	Q12962
Q9NQC3	Q9P0N5
Q8WZ42	Q9UH99
P46531	Q8WXI9
Q9HAU5	Q66K89
Q99801	Q02086
P49841	P35222
P49841	Q8N0Z3
P17096	P27695
P25054	P15927
Q01844	Q9UHR5
P25963	Q9UBC9
Q9H2S9	Q02297
P04637	P49902
P35637	Q9NRR4
Q9HAU5	Q8WWY3
P38936	Q9Y6K9
P35637	Q15758
P01100	O60869
P14859	P48431
P63027	Q9UI14
Q01844	Q13114
P60896	Q15008
Q8WZ42	Q01844
P25054	O14490
P11387	Q00987
Q00987	Q02878
Q14449	P35568
Q00987	Q9C005
P38936	Q92934
P04637	Q53GS9
Q01844	Q8N6N3
P40337	Q9UQN3
Q00987	Q7KZF4
P02545	Q96AG4
P35869	P10589
Q01844	P54259
Q00987	Q6PCD5
P54725	P20618
P49841	Q9UP38
P08047	P56693
P17096	Q9HAU5
P16949	P04818
Q09472	Q99967
Q01844	O15212
Q13573	O94906
Q01844	P08397
Q14449	O43559
Q02548	Q92793
P38936	Q9BYJ9
Q93009	P37275
Q00987	P51532
Q9H981	Q9C086
O15350	Q8TDN4
Q01844	Q86UU0
P27695	Q96FW1
P19793	P17096
P04637	Q96SB4
P49841	Q9P2P5
P61244	P49207
P09651	O60568
Q09472	O75030
P35637	P15927
P25054	Q8NF91
P04637	Q7LG56
Q9UKV8	Q02878
Q09472	Q99814
P27695	P17987
Q8WZ42	Q9H2C0
O15350	Q12888
P04637	Q13190
P25963	P01375
Q9NQB0	Q08050
Q01844	Q07065
P04637	O14965
P35612	P35611
P04637	Q9BYW2
Q08209	Q9NP98
P01100	Q9Y3E7
P27695	Q96CT7
P49841	Q14203
P04637	Q96DF8
Q49AN0	P27635
P52298	Q9NX46
P49841	O60346
P11387	P16455
Q9NQI0	P12931
Q13573	P13805
Q9UKV8	P98175
P35637	P55209
P04637	P46821
P04637	Q14191
P49841	P51668
P04637	P46100
Q00987	Q9NR30
P19793	Q9NPJ4
P01100	Q04760
P01100	P62851
Q01844	Q96EB6
O43236	Q8IUQ4
P04637	P14866
P35637	A6NIV6
Q9UER7	P15923
Q9UER7	Q13618
Q9UER7	Q01201
P40337	Q96AG4
P14635	P24522
P04150	Q9Y6Q9
Q9UJY5	Q8TAB5
Q00987	Q92522
P01100	P0DPB3
Q00987	P49841
P54725	Q9Y2H9
P04637	O95863
Q9Y6Q9	Q86X55
P49841	Q9H7B2
Q99801	P11831
P37840	Q8IYB3
P35637	P55072
P19793	P08235
Q00987	P10606
P25963	Q2VPK5
P07476	Q96IK5
P19793	P09086
O15169	Q93008
Q9NQI0	Q96BD6
P40337	P20618
Q01844	Q92733
Q01844	O75400
Q09472	Q9UBN7
Q13541	Q9BW85
Q9NZ94	P50222
Q01844	O00295
Q13573	Q9BVQ7
Q9UER7	Q8IUH5
P54725	Q01831
Q9UER7	Q96AQ6
P61244	Q14204
P54725	P49768
P08047	Q15257
P25054	P56715
Q09472	P04637
Q9HAU5	Q9UHX1
Q13573	Q16637
P04637	P84074
P04637	P04150
P19793	O95257
P40337	Q9HAV7
P38936	Q7Z5J4
P04637	P24522
P53350	P20618
P46531	Q86X19
Q01844	Q8NEH6
P04637	P36956
P09651	Q5QJE6
P23025	O15446
P19793	Q9H0E9
Q9UER7	Q9UNE7
P15884	O95153
P49354	P55209
P63027	P46379
P51946	Q13136
P04637	Q15170
P40337	O75347
Q13573	P98175
P02545	P49711
P35869	P12931
P02545	P52272
P17096	P04637
P37840	P31645
P04150	P43364
P20810	P04632
P51946	P33993
P25054	Q99418
Q09472	P17844
P53350	Q6PGQ7
Q49AN0	P54253
Q09472	Q9HD26
O15350	Q5VWQ8
P04637	Q9NS37
P04637	P27695
Q49AN0	P33992
P04637	Q8IXM3
P15884	Q6NYC8
P04637	O96017
O15169	Q5VUA4
Q9UBB5	Q14289
P51608	P61956
Q00987	P61956
P35869	Q15788
Q09472	P15884
P46531	Q9Y6X3
Q13573	Q96ER3
P49841	Q9HCC0
P04637	Q96J02
P29353	Q12929
P38936	P22674
O00488	Q9Y6Y8
Q09472	O75376
P17096	O75147
Q09472	P09874
Q9NQB0	P61956
P04150	P07900
P78356	Q9NRR5
P04637	P61978
P25054	P17612
P04637	O14737
P61244	P46063
Q09161	Q8IUD2
Q00987	O75396
Q13573	P52701
Q9NQB0	P49768
P08047	Q13952
P60896	Q9P0P0
P24522	P08670
P17096	O75937
P27695	Q01105
Q13573	P12755
Q9UGL1	P06400
Q01844	Q7L5N1
P46531	P22681
P17096	P09874
P63027	Q16623
Q13573	P41223
P04150	Q9P0K8
Q9H981	Q6P4R8
P60896	O95456
P52298	Q15428
P04637	Q9BQA1
P24522	Q8IWV7
P40337	O75396
Q13573	Q8TAD8
P49841	Q969H0
Q13573	Q15459
Q13569	Q09472
Q93009	Q5VTB9
Q13569	P04637
P09651	Q86X55
Q9NQI0	Q96S59
P37840	Q02790
O43236	Q9H3Q1
P40337	Q9H773
Q93009	Q8NFZ5
P02545	Q9UBB9
Q09161	O75147
P15884	O60682
Q8WZ42	Q14896
P04150	Q13569
P02545	O60684
O15169	P25054
P54725	P08670
Q93009	Q96PU4
Q00987	Q13216
P17096	Q14134
P09651	Q01844
P40337	Q13148
O43464	O00165
Q9Y5B0	O94822
O14733	Q16584
P63027	Q16854
P60896	P11441
P14635	O15350
Q13573	Q96QD9
P15884	Q9HC98
P25963	Q00839
P04637	Q15542
Q8N488	Q00987
Q09472	Q15596
P15884	P49901
P40337	P99999
Q9UKV8	Q13148
Q13573	Q8WWH5
P19793	Q99743
Q13573	Q96JP2
Q13541	Q15257
P61244	O75486
P49841	P49840
P14635	Q14676
Q13569	P15884
Q9UER7	O60566
P14859	Q7Z3K3
P25054	Q9NRL3
P01100	O60476
P04150	Q8IZL8
P41236	P49840
P04637	P62424
Q9UJY5	Q9UJY4
Q9UBB5	Q06330
Q93009	P46939
P49841	P78559
Q09161	Q8N5A5
P09651	P78347
P11387	Q9BUQ8
Q9NQC3	O95197
Q09161	Q9UHI6
P46531	Q13263
P11387	P42574
O43464	Q6P996
Q9HAU5	Q13868
P09651	Q9H2C0
P14635	Q8NHZ8
P49841	Q15029
P04150	O75478
Q49AN0	O00327
P08047	P40337
P04637	O15350
P60896	Q14997
P35637	Q8IYD8
Q93009	P46531
Q49AN0	Q15233
Q00987	Q9H869
O14733	Q99683
Q13573	Q99848
P04637	P62917
Q16143	Q16854
Q09472	P62854
P38936	P62195
P25054	P49841
Q9UBE0	Q01844
Q00987	P08670
P09651	Q9UKV3
P20810	P46379
Q01844	O94913
P08047	P10276
P08047	Q58WW2
P49841	O94811
Q01844	Q07666
Q13569	P10827
Q09472	P49736
Q00987	Q9H9B1
P38936	P22626
P19793	P55345
P80723	Q9NQW6
P14635	P21333
P49841	Q9Y6K9
Q49AN0	P07900
Q09472	Q96GM5
Q00987	Q13085
Q01844	Q9NS69
Q9Y6Q9	P62877
P04150	Q08209
P14635	Q15154
P54725	Q9Y6A5
Q01844	P17480
Q9NQI0	Q13618
Q93009	P19338
Q93009	Q9BWX1
P15884	P29590
P29353	Q8TF42
P11387	Q14686
P09651	O00233
Q13573	P35249
P02545	P01100
P46531	Q86VP6
Q09472	Q9UBL3
Q13573	P17987
P29353	Q8WZ73
Q9UER7	P62805
P51608	Q15562
P53350	Q7Z7F7
P08047	P51608
P14859	P17612
Q09472	O95644
P46531	Q13098
Q13573	Q12931
Q01844	Q92804
O15350	O15151
P35637	P49841
P04637	O75147
Q9UER7	Q02548
P46527	P20248
P04637	P21333
Q01844	P06748
P04637	O14654
O15169	P04637
P02545	Q9BQS8
Q00987	P28072
Q14191	P46100
P17096	O95644
P35637	Q13620
P35611	P04183
Q9NQC3	Q8WXF7
P04637	Q8TD20
Q14449	Q99558
Q9UKV8	Q9BYJ9
P17096	Q9UMX1
P04637	Q96M02
P35637	Q15459
Q01844	P49736
Q9Y3M2	A1XBS5
Q49AN0	Q5JR59
P46527	Q9Y4X5
Q93009	P41212
Q09472	Q13887
Q00987	P40926
P46527	P55072
P04637	P09874
Q09472	Q9H4L4
Q01844	Q9P2K8
P46531	A6NHR9
P25963	A0JLT2
P35637	Q96GG9
P17096	P09086
P27695	P23508
P08047	P28360
P40337	P02751
P04150	P19338
P23025	P06400
P40337	P06454
P17096	P12956
Q13573	Q13422
Q9Y5B0	Q96ST2
Q01844	Q15011
O15350	P62877
P53350	P28072
P61244	P51608
P08047	P42858
Q02548	P20226
O15350	P35637
P04637	P51948
P25054	Q8WY36
P02545	Q13043
Q13573	P08670
P27695	Q9UPR6
Q01844	Q9BQ67
P49841	O60716
O75496	P31270
P46531	Q9BXP5
Q9UKV8	O14744
Q9HAU5	P54132
P02545	O15541
P08047	Q99801
P38936	Q7L5N1
Q13541	Q8N122
Q49AN0	Q13363
Q09472	P33992
P49841	Q6R327
P08047	P17542
P35637	P61956
Q93009	P55055
P09651	P35637
Q01844	Q14320
O43464	Q9BXM7
P49841	Q7Z5J4
P40337	Q8IUC4
Q00987	Q14498
P51946	P15927
Q14061	P29401
P40337	Q93062
Q93009	Q96EP1
P49841	P37840
Q9UKV8	P78318
P19793	Q12756
P60896	Q7KZF4
P04637	Q9BX70
O15169	Q14134
Q01844	Q93009
Q9Y6Q9	P62805
P11387	Q9NR30
P60896	P30876
Q9HAU5	Q96Q15
Q13573	Q13153
P02545	Q9UHR5
P08047	P62195
Q9NQC3	P22695
Q09472	Q9BZS1
P04150	Q4G0J3
P08047	Q96EB6
Q00987	P47756
Q09472	P10242
P04637	Q15573
P11387	Q92522
O14733	Q12852
O15350	O60566
P27695	Q8N6M0
P25054	O43464
Q9H981	Q6PI98
Q00987	Q9NXE8
Q01844	Q9Y3B9
Q01844	P81877
Q01844	O00165
Q00987	O95835
Q9NX55	P15927
P04637	O60341
Q49AN0	O15027
Q01844	O00418
Q09161	Q5VV67
P02545	P60369
P09651	Q7Z2W9
P35637	Q96FW1
P19793	P51532
P54725	Q01130
Q93009	Q9NS23
Q09472	P00736
P08047	Q99814
Q01844	Q05519
P40337	P28799
P04637	P17096
P35637	P17987
P04637	Q96K58
P40337	Q9H0E3
P54725	Q12933
P04637	P62854
Q9UKV8	Q13618
P37840	P51693
Q9UER7	Q9UM11
P25963	Q13098
Q01844	Q9BU76
P49841	P53805
P11387	Q92797
Q08209	P04637
Q01844	O15234
P09651	P02545
P14635	Q13635
P37840	Q969H0
P29353	Q969H0
P38936	Q9UHC7
P23025	O14965
P35869	P49848
Q09472	Q8WXX7
Q09472	Q92793
Q01844	Q9NZ81
P04637	Q96GM5
Q13573	Q8WXI9
P53350	O95835
Q93009	A1A519
Q49AN0	P19338
Q9UGL1	O60885
Q9Y5B0	Q9BQA1
P37840	P12931
P60896	P20618
P40337	P61758
Q00987	P42166
P46531	Q9C0K0
P40337	Q00839
P49841	Q9UHR5
P49841	Q9H1J1
P02545	Q13442
Q13573	P78347
P49841	P63167
P04637	P61081
P17096	Q92793
P04637	O95644
P15884	P38936
P19793	P49841
P61328	Q13422
P60896	Q9NVH2
P02545	Q9GZU8
Q13573	Q9H6S3
Q08209	Q8TAP6
P49841	Q03701
P35611	Q13464
P11387	P61956
P35637	Q8IYS1
Q09472	P50553
Q13573	Q9Y5U2
Q01844	Q9Y6Q9
P04818	Q15843
Q93009	Q5VIR6
O43464	P05814
Q09161	P42285
P04637	P18847
P04637	P06396
P15884	Q9UHB4
P09651	P00558
P61244	Q99814
P08047	Q8IXK0
Q09472	O00327
P38936	Q7KZ85
Q00987	Q8NBS9
Q13573	Q9UKV3
P38936	P24864
P02545	P22626
O14733	P04075
P08047	Q09472
P04637	P62241
P04637	O94986
O14733	O43318
P04637	P12956
Q01844	P37275
P02545	Q9UIG0
P38936	P42704
P52298	Q04637
P09651	Q6P2Q9
Q93009	O94966
P37840	Q15029
P09651	P51003
Q16633	P53999
Q00987	P48735
Q01844	Q15843
Q99801	Q9BQA1
P38936	P06748
P38936	Q15025
Q09472	P33991
P51608	P62807
Q9UER7	P02794
P04637	P39023
O75496	P20248
P52298	O60684
Q00987	P35637
Q9NQB0	O15105
P09651	Q7KZI7
P04637	Q9H0E9
P37840	Q9GZQ8
P09651	P29084
Q9NX55	Q5TDH0
Q01844	Q9BTA9
P35611	Q9NP66
P08047	P17844
Q09472	Q9Y6B2
P11387	Q13148
P60896	P61956
P29353	Q9UM73
Q14191	P04637
Q01844	P43364
Q9H981	Q8NBZ0
P46527	P63208
Q13569	Q92793
Q9NQI0	Q86VP6
P63027	Q9NUW8
Q49AN0	O43143
P11387	Q13216
Q09161	P42345
Q9HAU5	O75031
Q01844	Q8N6R1
Q93009	Q01844
P04637	Q01484
P19793	P20226
P37840	Q92934
P24522	P62805
P08047	O75376
Q01844	Q15233
P61244	Q09472
P09651	P15924
P04637	Q9NRR4
Q13573	P62899
Q13573	P42166
P19793	Q96RI1
P04637	O60264
P35611	Q9UFC0
Q9UER7	Q9BZ95
Q14191	P16104
P51946	Q9UNI6
Q01844	O60238
P49841	O75030
Q00987	P13645
P19793	P55055
O43464	P98170
P02545	Q13263
Q00987	O60566
P02545	Q7L014
P09651	P35222
Q9Y6Q9	P28702
P24522	Q6UXH1
P04150	O60244
P01100	P53567
P04637	O43290
P17677	Q02878
P53350	Q96NY9
P01100	Q02930
Q13573	Q01130
Q9Y6Q9	Q8IZQ8
P09651	P49759
P09651	Q12996
Q13573	P15172
P80723	Q8N6M0
P16949	Q9H910
P14859	P01375
Q9NX55	Q96PU8
P35637	P0C7T5
Q09472	Q8IZL8
P04150	Q9Y618
P35637	Q96P66
Q14191	P09874
P37840	O43236
P29353	P17931
P14635	P20248
P40337	Q15942
Q08209	P23634
P25054	O43815
P38936	Q5T4S7
P53350	Q5VYS8
P53350	Q9NWV8
Q00987	P22695
Q9HAU5	Q5RKV6
P38936	Q9P287
P02545	P16104
P53350	O60566
P51946	P30876
P15884	Q6P597
Q9Y5B0	O43513
P53350	Q86WJ1
P35869	P08047
O14733	Q9UQF2
P63027	Q9BV40
P04637	O60936
P04818	P13797
Q13573	P35637
Q09472	Q8NFZ5
Q09472	Q15672
P14635	P55072
P04637	Q02952
P54725	Q7Z7B0
Q09472	Q13363
P17677	P29353
Q93009	Q00987
Q49AN0	P55265
P04637	P55209
P04637	Q92793
P37840	Q9UHK0
P15884	Q9UKJ5
O14733	Q8IUD2
Q93009	Q16204
P02545	Q9Y2W1
O75496	P78364
P04637	P20248
P40337	Q13263
Q09161	P55884
P17096	P09651
Q93009	P48431
P51608	P62805
P02545	O14593
O75496	Q8IYE0
P01100	P61952
P46531	Q9UJU2
Q13573	Q8WYA6
Q01844	P13797
P19793	Q5QJE6
P52298	P37840
Q09472	Q13562
P35611	Q02363
Q9UBB5	Q9Y6A5
Q01844	Q8IZL8
P08047	Q5BJF6
Q13573	Q8WUZ0
P46531	P06400
Q09472	P31260
Q9UBB5	O14744
P04150	P62879
P08047	Q96ST3
P52298	Q09161
P04637	P55072
P04637	P42345
Q9UER7	Q99683
P60896	Q8IWV7
P60896	Q9Y244
P09651	Q14966
P53350	Q8TES7
Q9UGL1	O60341
Q9UBB5	Q8WXI9
P40337	P26639
P49841	P17844
Q8WZ42	O75592
Q13541	P15884
Q13573	Q9NWV8
P08047	Q9UL17
Q13573	Q9H9A6
Q9UJY5	O60941
P25054	Q05397
P19793	Q15653
Q09472	P46531
P09651	Q9UBS0
Q13573	O60566
Q13573	P02545
P24522	P01871
P04637	O14576
Q9Y6Q9	Q969H0
P04637	Q96J94
Q93009	P29590
P63027	P61081
Q00987	P37837
P20810	Q9H4G0
P40337	P08047
Q13573	Q5RKV6
P49841	Q9H254
P04150	Q00987
P49841	O60296
P25054	Q96HA1
P30291	P42574
P04637	O43524
Q00987	P07954
Q01844	P17252
P08047	Q9UBL3
P04150	Q16204
P20810	Q8WZA0
P35637	P62899
Q00987	P18124
Q01844	Q92900
P04637	Q96JN8
Q9UER7	P35250
O43236	P06400
P19429	Q06945
P27695	P04632
P24522	P51668
P14635	P54725
Q9UKV8	Q86VP6
Q00987	Q9NZM5
P25054	O14513
P01100	P61956
Q00987	Q9P1W9
P19793	P29372
P46531	Q9NWT6
P40337	Q86SX6
Q13573	Q9UQ13
Q09472	Q13526
Q9UBE0	P42768
P51608	Q9H444
Q9NQC3	P52272
Q00987	P18146
O75496	P51532
P37840	Q16143
P25054	Q9NTX7
Q01844	O95983
P15884	P49768
P19793	Q9Y618
P78356	Q96JC9
P49841	Q9NYF0
O15169	P84996
P37840	Q9UHR5
P04818	Q9Y3B8
Q9UKV8	P18124
P11387	Q14498
P04637	O15126
P37840	P63167
P04637	Q8IZT6
P38936	Q99683
P29353	P63010
Q9NQI0	Q93009
P54725	P80723
P37840	O95139
Q9NX55	O00193
P04637	P54725
P53350	Q8N4C6
P25963	Q15843
Q8WZ42	P02751
Q13573	O95149
P53350	Q2NKX8
P29353	Q9BPY3
Q09472	O75444
P09651	Q5U5Q3
P49841	P35030
P35611	P15927
P11387	Q13618
P02545	P49736
Q9UER7	Q9UPN3
P49841	Q00013
P37840	P42858
P54725	O00487
P53350	O75379
P25054	Q5T5U3
P29353	P35568
Q14061	Q13432
Q99801	Q8WTP8
P04637	Q9Y3T9
P01100	P49802
P25054	O60566
Q49AN0	Q15910
Q00987	Q8WZ73
Q9Y6Q9	Q9Y6K9
P60896	Q75QN2
P04637	Q66K89
P11387	O95218
P38936	P07900
P40337	O75694
P49841	P24864
Q09472	P20226
Q9H2S9	Q13422
P04637	O75478
Q09161	Q96J01
P08047	P43694
P09651	P52272
P15884	P55040
Q09161	Q8TAD8
P14859	P28360
Q13573	P15924
P19793	Q13352
Q00987	P26368
Q01844	Q8IWX8
P04637	P09651
O43236	P37840
P46531	O95863
P23025	Q6AHZ1
P61244	Q9H0E9
P40337	Q9UM11
Q00987	P12814
P04637	Q7Z7E8
O15350	Q96BD6
P08047	P19105
P25054	Q13263
P02545	Q71DI3
P09651	O43422
Q9UER7	P46100
P04637	Q02878
P16949	Q9UK76
P40337	O43474
Q01844	O95486
P53350	Q14203
P49841	Q969V6
P35637	P02545
P30291	Q9ULD4
P04637	O95816
Q00987	Q6P2E9
P04637	Q9C0J8
P08047	Q86V48
Q16633	P78347
P53350	Q9UM11
P29353	P22626
P02545	Q93009
Q8WZ42	Q13618
Q01844	Q9NZZ3
P01100	O14974
P02686	Q15198
P38936	Q16236
Q09472	Q12888
O75496	P61956
P04637	P51532
P01100	Q8IWV7
P49918	P15172
Q9Y6Q9	Q8N0W5
P61244	O60264
Q09161	P61956
P35637	Q8N1B3
Q9HAU5	Q13573
Q93009	Q03468
P40337	Q9BQ67
Q00987	Q99689
P19429	Q9BYV6
P60896	Q9UNE7
Q9UKV8	Q9UBM7
P40337	P62750
P37840	Q16082
P04637	Q9Y385
P04637	O95155
Q9UER7	P04150
P25963	Q9NWT6
O76070	P63167
Q01844	O96028
P02545	P33992
P35611	P42574
Q09472	Q9BQG0
P04637	Q9P0U4
Q01844	Q9H814
P63027	P54920
P61244	O43290
P51946	P02686
P04637	P63208
P09651	Q9GZQ8
Q01844	O75150
Q01844	P12821
P46531	Q96J02
Q00987	Q14444
P40337	Q13439
Q9Y6Q9	Q07869
Q9UKV8	P62750
Q13573	Q16514
Q9UBE0	Q96S44
Q13573	Q6NUQ1
P19793	P29590
P49841	Q13887
P38936	Q8NFZ5
P02545	Q9UQ35
Q93009	Q8WV16
Q13573	O60610
P04150	O60841
Q13573	Q14203
P35637	P62805
Q01844	Q96F24
P40337	P22736
Q13541	Q9UJY5
Q01844	O43583
Q93009	Q06330
P02686	Q9UKI8
P04637	P12755
Q14191	Q92793
P49841	P16220
O76070	Q96AE4
P04637	Q07812
P04637	Q13620
Q13573	Q14966
P08047	Q8WZ42
Q9UKV8	Q9H0S4
P19429	Q59H18
P25963	O14965
Q9Y6Q9	P10276
P01100	Q01105
P38936	P47897
P35637	Q15428
Q13573	Q9UBS0
P40337	Q3ZAQ7
P35637	Q15738
P49841	O00165
P04637	Q9H334
Q01844	Q9NS23
P08047	Q9UBU9
Q01844	Q8IUD2
P24522	P46379
Q9UBB5	Q9P2Y4
P04637	Q9UL15
P53350	Q9UI14
P09651	Q96Q27
P35869	Q15843
P15884	Q0VG99
Q00987	P52272
P04637	Q9HCM9
P08047	P07900
O15350	Q9H211
P19793	P35637
Q00987	P50991
P02686	Q13153
P46531	Q01196
O15169	P12755
P35637	Q8NFT6
Q01844	Q9UI36
P29353	P17844
Q09472	P10244
Q93009	Q8N488
P35611	P17612
Q9UER7	Q5M775
Q01844	P41236
Q01844	O95336
Q93009	P10070
P49841	O75398
Q01844	Q04760
Q01844	P62851
P04637	Q96EI5
Q00987	P07919
P30291	Q8IZQ1
P35637	P35222
Q09472	Q9Y618
Q01844	Q9UKY7
P27695	Q9UIF7
Q09472	Q53ET0
Q09472	Q86X55
P01100	Q9ULX9
P38936	P15880
Q00987	Q9NY61
Q01844	Q7Z6B0
Q00987	Q8NFV4
P04637	P20226
Q09472	P19793
P14635	Q96FW1
Q9H832	O00237
O75496	Q9H9B1
P09651	Q8WVV4
P49841	Q9Y6Q9
P15884	Q8NDC4
Q9UKV8	Q9H171
P04637	Q99848
P35869	P06400
P37840	Q9Y4K3
Q13573	Q13123
P08047	P06401
Q09472	Q01844
P04637	O60568
Q13573	Q9H6S0
P04150	Q14686
P17096	Q9Y618
Q00987	Q15257
P02545	Q15233
P15884	P15923
P49841	Q13541
P07476	P23490
Q8WZ42	Q4VCS5
P08047	Q05066
Q93009	Q9NZT2
P17096	P19793
Q13573	P78406
Q8WZ42	A0JLT2
Q49AN0	Q9UKT7
O15169	Q9Y6R4
Q00987	Q04637
Q9HAU5	P78559
P02545	Q9UBU9
Q00987	P46063
P25054	P12814
Q01844	Q86V81
Q00987	P22314
P14859	P08047
P09651	P40337
Q00987	Q9NWK9
P61244	Q9NRL2
Q9UKV8	P49915
P40337	Q15843
Q00987	Q9UBB9
